Min    Max    Avg    Med    Var    STD
0    58.    2.41    2.    8.84    2.97
0    345.    5.64    4.    107.    10.4
0    1.38e9    8.97e7    165.    1.14e17    3.37e8
0    2.88e3    710.    707.    1.12e5    335.
0    2.26e3    55.4    0    3.64e4    191.
0    1.03e3    479.    489.    8.18e4    286.
0    994.    123.    25.5    3.88e4    197.
0    1.e3    256.    85.    1.15e5    340.
0    1.e3    20.1    0    1.32e4    115.
0    56.    1.52    0    11.    3.32
0    867.    18.5    3.    1.99e3    44.6
0    999.    36.7    10.    5.31e3    72.8
0    961.    2.97    0    665.    25.8
0    5.    1.01    1.    0.173    0.416
0    235.    15.9    7.    444.    21.1
-173.    8.79e4    960.    82.    7.02e6    2.65e3
-451.    1.09e5    2.32e3    503.    2.17e7    4.66e3
-8.    7.89e5    3.06e3    266.    2.23e8    1.49e4
0    8.83e5    6.35e3    893.    4.14e8    2.04e4
0    1.99e5    586.    1.    3.6e7    6.e3
