Min    Max    Avg    Med    Var    STD
0    97.    2.63    2.    18.2    4.26
0    414.    8.71    5.    320.    17.9
0    1.38e9    1.42e8    211.    1.73e17    4.16e8
0    2.73e3    802.    811.    1.47e5    383.
0    1.92e3    93.8    0    6.33e4    252.
0    941.    548.    613.    9.e4    300.
0    992.    142.    47.    4.19e4    205.
0    1.e3    338.    165.    1.37e5    370.
0    1.e3    48.3    0    3.54e4    188.
0    139.    5.14    2.    99.    9.95
0    734.    21.7    5.    3.e3    54.8
0    922.    48.    16.    8.42e3    91.8
0    987.    6.28    0    1.52e3    39.
0    9.    1.53    1.    0.977    0.988
0    183.    16.9    10.    404.    20.1
-39.    1.55e5    1.23e3    186.    2.49e7    4.99e3
-4.    2.24e5    3.45e3    1.14e3    6.99e7    8.36e3
-9.    1.29e6    4.93e3    599.    1.34e9    3.66e4
0    2.05e6    1.03e4    2.02e3    3.43e9    5.85e4
0    1.28e5    1.26e3    4.    6.25e7    7.91e3
